,CATEGORY,CONDITION,# OF UNITS,TOTAL ORIGINAL RETAIL,TOTAL CLIENT COST,AVG. UNIT CLIENT COST,AVG. UNIT RETAIL,Needed,"$25,000.00"
190383544823,Free People Strapped in Brami White Size XS/S,New,2,$28.00,$56.00,$14.00,Free People,,
190392635147,Jen7 Womens Sateen High Rise Skinny Ankle Pants Tan 12,New,1,$99.00,$99.00,$24.75,JEN 7/SEVEN FOR ALL MANKIND,,
190392642466,Jen7 by 7 for All Mankind Split-Seam Ankle Skinny Jeans DRAK Blue 12,New,1,$99.00,$99.00,$24.75,JEN 7/SEVEN FOR ALL MANKIND,,
194374011295,"Free People Women's One of The Girls Henley, Black, Large",New,1,$40.00,$40.00,$10.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374391120,Free People Arden Tee Lite Bark SM (Women's 4-6),New,1,$58.00,$58.00,$14.50,FREE PEOPLE/URBAN OUTFITTERS,,
194374555256,"Free People High Tide Tee Top Ivory Combo, Ivory Combo, Size X-Small",New,1,$68.00,$68.00,$17.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374258133,"Free People Side of Sass Bodysuit (White, M)",New,3,$58.00,$174.00,$43.50,FREE PEOPLE/URBAN OUTFITTERS,,
,FBA16GV12XFN / 1ZT74T280349404050,,,,,,,,
193653284481,"Joe's Jeans Women's Charlie High Rise Skinny Ankle, Hawking, 31",New,1,$188.00,$188.00,$47.00,JOE'S JEANS/CENTRIC WEST LLC,,
194374258133,"Free People Side of Sass Bodysuit (White, M)",New,1,$58.00,$58.00,$14.50,FREE PEOPLE/URBAN OUTFITTERS,,
,FBA16GTWFK8Z/1ZT74T280370766352,,,,,,11/11/2021,,
190380411326,"Free People Women's Sage Longline Bralette, Black, Small",New,1,$38.00,$38.00,$9.50,FREE PEOPLE/URBAN OUTFITTERS,,
190380642140,Intimately Free People Womens V-Neck Slimming Slip Dress Gray XS/S,New,1,$30.00,$30.00,$7.50,FREE PEOPLE/URBAN OUTFITTERS,,
190392635123,Jen7 Womens Sateen High Rise Skinny Ankle Pants Tan 8,New,1,$99.00,$99.00,$24.75,JEN 7/SEVEN FOR ALL MANKIND,,
190392635147,Jen7 Womens Sateen High Rise Skinny Ankle Pants Tan 12,New,1,$99.00,$99.00,$24.75,JEN 7/SEVEN FOR ALL MANKIND,,
193277693706,"AG Adriano Goldschmied Women's Legging Super Skinny FIT Jean, Embers, 26",New,1,$198.00,$198.00,$49.50,AG ADRIANO GOLDSCHMIED INC,,
193372072055,"HUDSON Jeans Women's Drew Mid Rise, Bootcut Jean, Gimmick, 30",New,1,$195.00,$195.00,$48.75,HUDSON CLOTHING INC/SAYMEE K INC,,
193372128554,"HUDSON Jeans Women's Viper Denim, Mini Skirt, Planetoid, 28",New,1,$175.00,$175.00,$43.75,HUDSON CLOTHING INC/SAYMEE K INC,,
193372216459,HUDSON Jeans Nico Mid-Rise Super Skinny in Abby Abby 24 28,New,1,$165.00,$165.00,$41.25,HUDSON CLOTHING INC/SAYMEE K INC,,
193372249570,"HUDSON Jeans Women's Barbara High Rise, Super Skinny Ankle Jean, Noir Coated, 32",New,1,$195.00,$195.00,$48.75,Hudson Jeans,,
193372249877,HUDSON Jeans Nico Mid-Rise Super Skinny in High Shine Brick High Shine Brick 26 28,New,1,$195.00,$195.00,$48.75,HUDSON CLOTHING INC/SAYMEE K INC,,
193465133410,Free People Strapped Scoop V Top Brami Crop Active Stretch Cami Pink,New,1,$28.00,$28.00,$7.00,FREE PEOPLE/URBAN OUTFITTERS,,
193465133427,Free People Strapped Scoop V Top Brami Crop Active Stretch Cami Pink,New,3,$28.00,$84.00,$21.00,FREE PEOPLE/URBAN OUTFITTERS,,
193465341808,Free People Clarity Ringer Moss MD,New,1,$38.00,$38.00,$9.50,FREE PEOPLE/URBAN OUTFITTERS,,
193465615633,Strapped in Brami Nude,New,1,$28.00,$28.00,$7.00,FREE PEOPLE/URBAN OUTFITTERS,,
193465872098,Free People Womens Denim Raw Hem Ankle Jeans Blue 28,New,1,$78.00,$78.00,$19.50,FREE PEOPLE/URBAN OUTFITTERS,,
193465965714,Free People Womens Beige Velvet Pants Size 24 Waist,New,1,$98.00,$98.00,$24.50,FREE PEOPLE/URBAN OUTFITTERS,,
193465965738,Free People Womens Beige Skinny Pants Size 26 Waist,New,1,$98.00,$98.00,$24.50,FREE PEOPLE/URBAN OUTFITTERS,,
193465965745,Free People Velvet Skinny Pants Pearl Ivory Sz 27,New,1,$98.00,$98.00,$24.50,FREE PEOPLE/URBAN OUTFITTERS,,
193653061587,"Joe's Jeans Women Provocateur Midrise Petite Bootcut Jean, Hayward, 32",New,1,$178.00,$178.00,$44.50,JOE'S JEANS/CENTRIC WEST LLC,,
