,CATEGORY,CONDITION,# OF UNITS,TOTAL ORIGINAL RETAIL,TOTAL CLIENT COST,AVG. UNIT CLIENT COST,AVG. UNIT RETAIL,Client Spend,"$40,000.00"
795459933220,Raisins Curve Women's Plus Size Caribe Solids Costa Skirt Swim Bottom D840069 18W Navy,NEW,1,$56.00,$56.00,$14.00,RAISINS PLUS/BREAKING WAVES INTL,,
806188190218,Magicsuit Gold Leaf Alex Side-Tie Tankin BlackGold 16,NEW,2,$124.00,$248.00,$62.00,ELLEN TRACY/MAGIC SUIT/MAINSTREAM,,
807263418340,"Becca By Rebecca Virtue Black/White Reveal Crochet Hipster Swim Bottom, US Small",NEW,1,$58.00,$58.00,$14.50,BECCA/LUNADA BAY CORP,,
807263441935,Becca Symphony Lace-Up Hipster Bikin BlackWhite M,NEW,1,$74.00,$74.00,$18.50,BECCA/LUNADA BAY CORP,,
822269124255,Raviya Sleeveless Embroidered Cover-U Black L,NEW,1,$58.00,$58.00,$14.50,RAVIYA INC/CASUAL DESIGNS,,
883986161299,O'NEILL Calla Pant Bottoms Calla Black/Gold XL (US 13),NEW,1,$36.00,$36.00,$9.00,O'NEILL SPORTSWEAR,,
887791168009,Nike Pro Hijab Athletic Hood Atmosphere XSS,NEW,1,$35.00,$35.00,$8.75,NIKE/ENI-JR286 INC,,
888407694028,Nike Plus Size Indy Dri-FIT Low-Imp WhiteBlack 2X,NEW,2,$35.00,$70.00,$17.50,NIKE USA INC,,
193154847093,Nike Men's Club Fleece Crew Sweatshirt,NEW,1,$50.00,$50.00,$12.50,NIKE USA INC,,
,FBA16D4SVB8B/1ZT738T70357099670,,,,,,9/9/2021,,
192498747809,Nike Womens Swoosh Bra (Sizes 1X-3X) Active Fuchsia/Black 3X,New,1,$30.00,$30.00,$7.50,NIKE USA INC,,
193150985997,"Nike Men's Nike Sportswear Club Short Jersey, Charcoal Heathr/White, Large",New,1,$30.00,$30.00,$7.50,NIKE USA INC,,
193655597367,Nike Swoosh Futura Women's Medium-Support Sports Bra BV3643-623 Size XL,New,1,$35.00,$35.00,$8.75,NIKE,,
193656534637,Nike Men's Fastbreak Basketball Shorts (Red/Black) Size M,New,1,$30.00,$30.00,$7.50,NIKE USA INC,,
193658879446,"Nike Women`s Tempo Icon Clash Running Shorts (Black(CJ2454-845)/Yellow, Small)",New,1,$35.00,$35.00,$8.75,NIKE,,
193658975551,Nike Plus Size Air Running Top CU8420-664 Washed Coral (1X),New,1,$45.00,$45.00,$11.25,NIKE USA INC,,
193658975933,Plus Size Fast Crop Running Tights BRN (3X),New,1,$65.00,$65.00,$16.25,NIKE USA INC,,
193659334647,Nike Women's Just Do It Burnout Tank Top White S,New,1,$35.00,$35.00,$8.75,NIKE,,
193658975209,Nike Plus Size Women's Dry Icon Clash Tempo Running Shorts 2X Pink,New,2,$35.00,$70.00,$17.50,NIKE USA INC,,
193659939972,Nike Women's Cotton Striped Romper Grey L,New,1,$65.00,$65.00,$16.25,NIKE,,
193658975216,Nike Plus Size Icon Clash Tempo Shorts Women's CU8418-601 Size 3X,New,1,$40.00,$40.00,$10.00,Nike,,
194502750553,"Nike Challenger Men's Brief-Lined Running Shorts CZ9066-010 (Black/Silver), Large",New,1,$35.00,$35.00,$8.75,NIKE USA INC,,
823229308906,"Nike Women's Dry 10K Running Shorts, Black/White/Dark Grey/Wolf Grey, Small",New,1,$35.00,$35.00,$8.75,NIKE,,
887224711772,"NIKE Women's Aerobill Featherlite Adjustable Visor, White/White/Black/Black, One Size",New,1,$24.00,$24.00,$6.00,NIKE USA INC-ACCESSORIES,,
887232248994,"Nike Men's Dry Tee Drifit Cotton Crew Solid, Dark Grey Heather/Black, Small",New,1,$25.00,$25.00,$6.25,NIKE USA INC,,
887791167989,Nike PRO Hijab Obsidian/White XS/S,New,1,$35.00,$35.00,$8.75,NIKE/ENI-JR286 INC,,
