,CATEGORY,CONDITION,# OF UNITS,TOTAL ORIGINAL RETAIL,TOTAL CLIENT COST,AVG. UNIT CLIENT COST,AVG. UNIT RETAIL,Client Spend,"$40,000.00"
650868864537,BCX Womens Juniors Faux Fur Brooch Shrug Purple M,New,1,$39.00,$39.00,$9.75,BCX/BYER CALIFORNIA,,
661414645784,"Teeze Me Juniors' Tie-Back Jumpsuit (3/4, Pine)",New,1,$69.00,$69.00,$17.25,TEEZE ME,,
689886511031,Jessica Howard Womens Red Floral Long Sleeve Boat Neck Short Fit + Flare Evening Dress Size 10P,New,1,$99.00,$99.00,$24.75,JESSICA HOWARD/G-III APPAREL GROUP,,
706257616277,"Alfani Cropped Pants (Bright White, 14)",New,1,$49.50,$49.50,$12.38,ALFANI-EDI,,
732995316865,"I.N.C. International Concepts INC Colorblocked-Ruffle Cold-Shoulder Top (Bright White, XS)",New,1,$59.50,$59.50,$14.88,INC-MMG,,
732997745816,Bar III Womens Gray Double Breasted Plaid Blazer Wear to Work Jacket (X-Large),New,1,$99.50,$99.50,$24.88,MMG-BAR III EDI/REUNITED CLOTHING,,
732998298717,Bar III Womens Ruched Heathered Mini Dress Gray S,New,1,$79.50,$79.50,$19.88,BAR III-MMG,,
732999504398,"Alfani Womens Pleated Ruched Top, Yellow Dafodil, Medium",New,1,$59.50,$59.50,$14.88,ALFANI-EDI,,
732999680634,Alfani Womens Black Printed Sleeveless V Neck Tank Top Size XL,New,1,$49.50,$49.50,$12.38,ALFANI-EDI,,
732999901913,Alfani Womens Knit Top Matchless Funnel Neck Sleeveless Gray XL,New,1,$69.50,$69.50,$17.38,ALFANI-EDI,,
733001274124,INC Womens Green Seam Front Long Sleeve V Neck Hi-Lo Sweater XS,New,1,$59.50,$59.50,$14.88,INC-MMG,,
733001274193,INC Womens Brown Long Sleeve V Neck Tunic Sweater Size S,New,1,$59.50,$59.50,$14.88,INC-MMG,,
733001523642,Alfani Womens Black Zippered Houndstooth Long Sleeve Scoop Neck Midi Dress Size S,New,1,$99.50,$99.50,$24.88,ALFANI-EDI,,
733001523659,Alfani Womens Black Zippered Houndstooth Long Sleeve Scoop Neck Midi Dress Size M,New,2,$99.50,$199.00,$49.75,ALFANI-EDI,,
733001592334,INC Women's Blouse Multi Large Plaid Puff-Sleeve Top Beige L,New,1,$69.50,$69.50,$17.38,INC-MMG,,
733001768814,INC Womens Red Crew Neck Sweater Size L,New,1,$79.50,$79.50,$19.88,INC-MMG,,
733001864783,INC Womens Pink Short Length Sweatshirt Size S,New,1,$69.50,$69.50,$17.38,INC-MMG,,
733001905622,Alfani Womens Knit Top Island Oasis Medium Twist Front Blue M,New,1,$59.50,$59.50,$14.88,ALFANI-EDI,,
733001916796,INC Womens Gray Sweatshirt Size L,New,1,$59.50,$59.50,$14.88,INC-MMG,,
733001994589,Alfani Womens Purple Belted Cap Sleeve V Neck Below The Knee Fit + Flare Wear to Work Dress Size XXL,New,1,$99.50,$99.50,$24.88,ALFANI-EDI,,
733002125142,Alfani Womens Purple Printed 3/4 Sleeve Boat Neck Top Size S,New,1,$64.50,$64.50,$16.13,ALFANI-EDI,,
733002168125,Alfani Womens Aqua Long Sleeve Boat Neck Top Size M,New,1,$59.50,$59.50,$14.88,ALFANI-EDI,,
733002383146,Alfani Womens Black Mock Neck Printed Long Sleeve Evening Top Size: L,New,1,$69.50,$69.50,$17.38,ALFANI-EDI,,
733002391998,Alfani Womens Black Elastic Waist Pull On Ankle Cropped Pants Size: S,New,1,$69.50,$69.50,$17.38,ALFANI-EDI,,
747941400703,Speechless Womens Beige Short Length Floral Spaghetti Strap V Neck Micro Mini Trapeze Evening Dress Size 9,New,1,$69.00,$69.00,$17.25,SPEECHLESS/SWAT FAME INC,,
789022534822,Ralph Lauren Womens Black Lace Pleated 3/4 Sleeve Boat Neck Above The Knee Sheath Cocktail Dress Size 2P,New,1,$165.00,$165.00,$41.25,RALPH LAUREN/POLO RALPH LAUREN,,
884094542697,LAUREN RALPH LAUREN Womens Sheath Paisley Cocktail Dress Red 4,New,1,$109.00,$109.00,$27.25,LAUREN,,
8032564391265,"Marella Womens Macula Trouser, L, Black",New,1,$285.00,$285.00,$71.25,MARELLA/MAXMARA USA INC,,
,FBA16HGT8S62/1ZT74T370307040746,,,,,,,,
93488038023,"Kasper Women's Texture Jacquard Empire Seamed Dress, Vanilla ICE, 10",New,1,$89.00,$89.00,$22.25,KASPER GROUP LLC,,
194374169385,Free People Greater Than Sweater Brown MD (Women's 8-10),New,1,$148.00,$148.00,$37.00,FREE PEOPLE/URBAN OUTFITTERS,,
732999038206,INC Toile-Print Trench Coat Beige/Gray S,New,1,$149.50,$149.50,$37.38,INC-MMG,,
,FBA16HGRP1QX/1ZT74T370315717134,,,,,,11/30/2021,,
191170255663,Trixxi Womens Red Floral Spaghetti Strap Square Neck Short Fit + Flare Cocktail Dress Size 5,New,1,$69.00,$69.00,$17.25,TRIXXI CLOTHING COMPANY INC,,
192284717702,Rosie Harlow Women's A-Line Dress Medium Floral Jewel Neck Black M,New,1,$21.99,$21.99,$5.50,PLANET GOLD CLOTHING,,
193277202700,"AG Adriano Goldschmied Women's Mari High-Rise Slim Fit Straight Leg Jean, 3Yrs Inquire, 30",New,1,$225.00,$225.00,$56.25,AG ADRIANO GOLDSCHMIED INC,,
193465854865,Free People Womens One Shoulder Ruched Back Choker Tank Black S,New,1,$68.00,$68.00,$17.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374002835,We The Free Womens Military Mix Cotton Studded Henley Top Green L,New,1,$78.00,$78.00,$19.50,FREE PEOPLE/URBAN OUTFITTERS,,
194374079882,Free People Devin Top Black SM (Women's 4-6),New,1,$88.00,$88.00,$22.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374101620,We The Free Womens Bondi Knit Waffle Thermal Top Blue M,New,1,$68.00,$68.00,$17.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374152677,Free People Womens Waffle Snap Front Henley Top Blue S,New,1,$48.00,$48.00,$12.00,FREE PEOPLE/URBAN OUTFITTERS,,
195203446202,Vince Camuto Puff Sleeve Luxe Blouse Rich Black XL,New,1,$69.00,$69.00,$17.25,VINCE CAMUTO/BERNARD CHAUS,,
608381660204,"INC International Concepts Womne's Illusion Ruffle Short Sleeve Dress (Deep Black, X-Large)",New,1,$44.50,$44.50,$11.13,INC-MMG,,
644432458932,"J Kara Women's Caplet Short Cocktail Beaded Dress, Black/Mercury, 16",New,1,$259.00,$259.00,$64.75,J-KARA/JAI MA CREATION INC,,
661414655776,Teeze Me Womens Juniors Lace-Up Back Scoop Neck Jumpsuit Black 1,New,1,$69.00,$69.00,$17.25,TEEZE ME,,
689886207163,Jessica Howard Womens Ivory Ribbed 3/4 Sleeve Open Cardigan Sweater Size S,New,1,$24.98,$24.98,$6.25,JESSICA HOWARD,,
689886464474,Jessica Howard Women's Plaid Flounce-Hem Midi Dress -Ivory Black Size 12,New,1,$109.00,$109.00,$27.25,JESSICA HOWARD/G-III APPAREL GROUP,,
689886464528,"Jessica Howard Women's 2 Piece 3/4 Sleeve Jacket and Sleeveless Ruched Waist Dress, Black Silver, 14",New,1,$119.00,$119.00,$29.75,JESSICA HOWARD,,
689886511017,Jessica Howard Womens Petites Mixed Media Floral Fit & Flare Dress Black 14P,New,2,$99.00,$198.00,$49.50,JESSICA HOWARD/G-III APPAREL GROUP,,
706254871266,INC Womens Ribbed Knit Open Front Cardigan Sweater Navy M,New,1,$49.50,$49.50,$12.38,INC-MMG,,
708008592786,City Studio Womens Juniors Floral Print Cutout Back Mini Dress Red 15,New,1,$69.00,$69.00,$17.25,CITY TRIANGLES-JODI KRISTOPHER,,
708008598719,City Studio Womens Gold Sleeveless Short Tulip Cocktail Dress Juniors Size: 9,New,1,$69.00,$69.00,$17.25,CITY TRIANGLES-JODI KRISTOPHER,,
720655529298,CECE Womens Coral Square Neck Peasant Top Size S,New,1,$69.00,$69.00,$17.25,CECE/BERNARD CHAUS INC,,
726895139235,Maison Jules Women's Adjustable Camisole Deep Medium- Black,New,1,$9.99,$9.99,$2.50,MAISON JULES-MMG,,
732994165075,INC Womens Black Sleeveless V Neck Top Size M,New,1,$24.50,$24.50,$6.13,INC-MMG,,
732995322323,INC Womens Cut-Out Cold Shoulder Blouse Red S,New,1,$44.50,$44.50,$11.13,INC-MMG,,
732996010458,Inc Womens Satin Wide Leg Paper Bag Tie Waist Pants Volcano Size 8,New,1,$79.50,$79.50,$19.88,INC-MMG,,
732999064427,"INC International Concepts Cotton Eyelet Top, Deep Black M",New,1,$79.50,$79.50,$19.88,INC-MMG,,
732999140978,bar III Womens Black Short Sleeve Keyhole Top Size: M,New,1,$34.50,$34.50,$8.63,BAR III-MMG,,
732999141043,bar III Womens Green Cut Out Short Sleeve Crew Neck Top Size M,New,1,$34.50,$34.50,$8.63,BAR III-MMG,,
732999311811,INC Womens Smocked Ruffled Blouse White M,New,1,$69.50,$69.50,$17.38,INC-MMG,,
732999657438,Alfani Womens Gray Pleated Sleeveless V Neck Tank Top Size XL,New,1,$49.50,$49.50,$12.38,ALFANI-EDI,,
733001064091,BAR III Womens Black Cuffed V Neck Sweater Size L,New,1,$69.50,$69.50,$17.38,BAR III-MMG,,
733001392736,Alfani Womens Pink Long Sleeve Blouse Wear to Work Top Size L,New,1,$79.50,$79.50,$19.88,ALFANI-EDI,,
733001450030,INC Womens Black Ruffled Printed Sweatshirt Size S,New,1,$69.50,$69.50,$17.38,INC-MMG,,
733001450061,INC Womens Black Ruffled Printed Sweatshirt Size XL,New,1,$69.50,$69.50,$17.38,INC-MMG,,
733001768777,INC Womens White Crew Neck Sweater Size XL,New,1,$79.50,$79.50,$19.88,INC-MMG,,
733001783695,Alfani Womens Black 3/4 Sleeve Scoop Neck Top Size L,New,1,$69.50,$69.50,$17.38,ALFANI-EDI,,
733001820710,INC Womens Pink Printed Sweatshirt Size M,New,1,$69.50,$69.50,$17.38,INC-MMG,,
733001907855,Alfani Womens Blouse Large Metallic Elbow Sleeve Top Blue L,New,1,$89.50,$89.50,$22.38,ALFANI-EDI,,
733001940777,Alfani Womens Gray Straight Leg Pants Size 10,New,1,$49.99,$49.99,$12.50,ALFANI-EDI/DFA,,
733001950561,Alfani Womens Sweater Medium Fitted Pullover Crewneck Blue M,New,1,$59.50,$59.50,$14.88,INC-MMG,,
733002125166,ALFANI Womens Purple Printed Jewel Neck Trapeze Top Size L,New,1,$64.50,$64.50,$16.13,ALFANI-EDI,,
733002383306,Alfani Womens White Gathered Color Block Short Sleeve Crew Neck Top Size S,New,1,$59.50,$59.50,$14.88,ALFANI-EDI,,
733002392001,Alfani Womens Black Elastic Waist Pull On Ankle Cropped Pants Size: M,New,1,$69.50,$69.50,$17.38,ALFANI-EDI,,
749709723475,Betsy & Adam Womens Black Solid Sleeveless V Neck Full-Length Sheath Formal Dress Size 12P,New,1,$199.00,$199.00,$49.75,BETSY & ADAM,,
829284680322,"Natori Women's Chic Comfort Full Figure Sweetheart Contour Underwire Bra, Buff, 30DD",New,1,$66.00,$66.00,$16.50,NATORI/DANA-CO LLC,,
887840357866,Emerald Sundae Womens Black Sheer Solid Sleeveless Strapless Above The Knee Body Con Party Dress Size S,New,1,$59.00,$59.00,$14.75,EMERALD SUNDAE/WILD HORSES APPAREL,,
887840378243,Emerald Sundae Womens Lace Midi Cocktail and Party Dress Red XL,New,1,$59.00,$59.00,$14.75,EMERALD SUNDAE,,
888815858746,Connected Apparel Womens Black Floral Long Sleeve Jewel Neck Short Sheath Cocktail Dress Size 12,New,1,$89.00,$89.00,$22.25,CONNECTED APPAREL COMPANY LLC,,
889631122097,CRYSTAL DOLLS Womens Blue Slitted Zippered Sleeveless Asymmetrical Neckline Mini Sheath Party Dress Size 9,New,1,$59.00,$59.00,$14.75,CRYSTAL LYNN,,
,FBA16HH5N2XM/1ZT74T370337466285,,,,,,11/30/2021,,
191290882961,As U Wish Womens Juniors Chiffon Metallic Mini Dress Black 11,New,1,$69.00,$69.00,$17.25,SECRET CHARM LLC,,
193465761569,Free People Womens These Dreams Floral Ruffled Mini Dress Purple M,New,1,$128.00,$128.00,$32.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374006260,Free People Womens Forever Your Girl Knit Babydoll Pullover Top Blue XS,New,1,$68.00,$68.00,$17.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374080987,We The Free Womens Plaid Released Trim Button-Down Top Red XS,New,1,$118.00,$118.00,$29.50,FREE PEOPLE/URBAN OUTFITTERS,,
194374084565,Free People Womens Heartland Velvet Floral Print Midi Dress Blue S,New,1,$198.00,$198.00,$49.50,FREE PEOPLE/URBAN OUTFITTERS,,
194374101507,Free People Bondi Thermal Beige XS (Women's 0-2),New,2,$68.00,$136.00,$34.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374161808,Free People Women's Bright Eyes Tie Dye Tee Cloud Combo Small,New,1,$58.00,$58.00,$14.50,FREE PEOPLE/URBAN OUTFITTERS,,
194374169361,Free People Greater Than Sweater Brown XS (Women's 0-2),New,1,$148.00,$148.00,$37.00,FREE PEOPLE/URBAN OUTFITTERS,,
661414655790,Teeze Me Womens Juniors Lace-Up Back Scoop Neck Jumpsuit Black 5,New,1,$138.00,$138.00,$34.50,TEEZE ME/CHOON INC (179/256),,
661414660947,Teeze Me Womens Blue Metallic Sleeveless Off Shoulder Mini Fit + Flare Party Dress Size 78,New,1,$69.00,$69.00,$17.25,TEEZE ME/CHOON INC (227/256),,
689886482720,Jessica Howard Womens Floral Print Gathered Cocktail Dress Black 16,New,2,$99.00,$198.00,$49.50,JESSICA HOWARD,,
689886511024,"Jessica Howard Womens Petite Floral Long Sleeve Boat Neck Evening Dress, Black/Red, 12",New,1,$396.00,$396.00,$99.00,JESSICA HOWARD/G-III APPAREL GROUP,,
707762207363,NW Nightway Womens Metallic Ruched Cocktail Dress Navy 4,New,1,$99.00,$99.00,$24.75,NIGHT WAY,,
708008572870,City Studio Womens Juniors Ruffled Fit & Flare Flounce Dress Navy 5,New,1,$59.00,$59.00,$14.75,CITY TRIANGLES-JODI KRISTOPHER,,
719544849180,"Wacoal Women's Style Standard Contour Bra, Rose Dust, 40D",New,1,$68.00,$68.00,$17.00,WACOAL INC,,
726895292398,Maison Jules Womens Lou Lou Mid Rise Cuffed Ankle Pants Navy 6,New,1,$24.99,$24.99,$6.25,MAISON JULES-MMG,,
732994677844,Alfani Womens Maroon Zippered Pockets Skinny Evening Pants Size: 10,New,1,$69.50,$69.50,$17.38,ALFANI-EDI,,
732995005738,Maison Jules Women's Flat-Front Chino Shorts Stone Wall Size 4,New,1,$19.99,$19.99,$5.00,MAISON JULES-MMG,,
732999052868,INC Womens Surplice Textured Blouse Black XL,New,1,$69.50,$69.50,$17.38,INC-MMG,,
732999543786,Alfani Womens Black Speckle Below The Knee Pencil Skirt Size: 12,New,1,$74.50,$74.50,$18.63,ALFANI-EDI,,
732999845033,ALFANI Womens Purple Printed Dolman Sleeve Turtle Neck Sweater Size L,New,1,$59.50,$59.50,$14.88,ALFANI-EDI,,
732999901913,Alfani Womens Knit Top Matchless Funnel Neck Sleeveless Gray XL,New,1,$69.50,$69.50,$17.38,ALFANI-EDI,,
732999978861,INC Womens Green Printed Sleeveless Tea-Length Shift Dress Size M,New,1,$119.50,$119.50,$29.88,INC-MMG,,
733001274131,INC Women's Sweater Hunter Small Ribbed v-Neck Pullover Green S,New,1,$59.50,$59.50,$14.88,INC-MMG,,
733001346647,bar III Womens Dress Multi Floral Print Belted Sheath Blue 14,New,1,$79.50,$79.50,$19.88,BAR III-MMG,,
733001392835,Alfani Womens Burgundy Printed Long Sleeve Turtle Neck Evening Top Size S,New,1,$79.50,$79.50,$19.88,ALFANI-EDI,,
733001523642,Alfani Womens Black Zippered Houndstooth Long Sleeve Scoop Neck Midi Dress Size S,New,1,$99.50,$99.50,$24.88,ALFANI-EDI,,
733001523666,Alfani Womens Black Houndstooth Scoop Neck Midi Dress Size L,New,1,$99.50,$99.50,$24.88,ALFANI-EDI,,
733001546733,bar III Womens Black Pull-on Skinny Evening Pants Size: XS,New,1,$49.50,$49.50,$12.38,BAR III-EDI/DFA,,
733001592266,INC Womens Pink Plaid Pouf Crew Neck Peasant Top Size: L,New,1,$69.50,$69.50,$17.38,INC-MMG,,
733001792499,Alfani Womens Navy Side Stripe Straight Leg Pants Size: M,New,1,$79.50,$79.50,$19.88,ALFANI-EDI,,
733001793427,Alfani Womens Pink Long Sleeve Scoop Neck Top Size L,New,1,$69.50,$69.50,$17.38,ALFANI-EDI,,
733001830979,bar III Womens Gray Bodysuit Size M,New,1,$49.50,$49.50,$12.38,BAR III-MMG,,
733002189052,ALFANI Womens Green Trench Coat Size M,New,1,$149.50,$149.50,$37.38,ALFANI-EDI,,
733002389353,Alfani Womens Navy Front Tie Long Sleeve Boat Neck Top 2XL,New,1,$69.50,$69.50,$17.38,ALFANI-EDI,,
733002393596,Alfani Womens Purple Pull On Stretch Wear to Work Flare Pants 4,New,1,$74.50,$74.50,$18.63,ALFANI-EDI,,
747941737946,"Speechless Juniors' V-Neck Skater Dress (11, New Red)",New,1,$42.99,$42.99,$10.75,SPEECHLESS,,
769137051049,LAUREN RALPH LAUREN Classic Knits Dolman Sleeve Notch Collar Capri Pants Pajama Set Pink Floral SM (US 4-6),New,1,$69.00,$69.00,$17.25,LAUREN/CAROLE HOCHMAN DESIGN INC,,
828659111850,JESSICA HOWARD Women's Portrait-collar Jersey Jumpsuit,New,1,$119.00,$119.00,$29.75,JESSICA HOWARD,,
,FBA16HH4TR8S/1ZT74T370301831956,,,,,,11/30/2021,,
93487909423,"Kasper Women's Petite Drapey Crepe Pant with Front Button Detail, Black, 8P",New,1,$59.25,$59.25,$14.81,KASPER GROUP LLC,,
192081289846,MSK Womens Red Long Sleeve Knee Length Shift Evening Dress Petites PXL,New,1,$158.00,$158.00,$39.50,MSK/JBS DRESSES LLC,,
192400583037,Sanctuary Womens Cyber Sequined Party Tank Top Black M,New,1,$89.00,$89.00,$22.25,SAGE/SANCTUARY CLOTHING INC,,
193465631336,"Free People Women's Moonbeam Alpaca Sweater, Ivory, Off White, Medium",New,1,$128.00,$128.00,$32.00,FREE PEOPLE/URBAN OUTFITTERS,,
193465631572,Free People Womens See TheRainbow Cropped Striped Pullover Sweater Red S,New,1,$168.00,$168.00,$42.00,FREE PEOPLE/URBAN OUTFITTERS,,
193465964649,Free People Teddy T-Shirt Black Combo Large (Women's 12-14),New,1,$78.00,$78.00,$19.50,FREE PEOPLE/URBAN OUTFITTERS,,
193596504622,Sequin Hearts Womens Burgundy Short Sleeve Off Shoulder Above The Knee Body Con Cocktail Dress Size 5,New,1,$59.00,$59.00,$14.75,MY MICHELLE,,
193629015675,"kensie Women's Lace Flounce Dress (14, Peacock)",New,1,$118.00,$118.00,$29.50,KENSIE/G-III APPAREL GROUP,,
194374061641,"Free People Women's Highland V-Neck Sweater (Polanco Combo, Large)",New,1,$128.00,$128.00,$32.00,FREE PEOPLE/URBAN OUTFITTERS,,
195203451565,Vince Camuto Long Sleeve Ruffled Vernona Garden Wrap Blouse New Ivory SM,New,1,$89.00,$89.00,$22.25,VINCE CAMUTO/BERNARD CHAUS,,
195203460314,Vince Camuto Long Sleeve V-Neck Striped Sweater Rich Black SM,New,1,$89.00,$89.00,$22.25,VINCE CAMUTO/BERNARD CHAUS,,
637348456512,BCX Merlot Large Junior A-Line Dress Grommet Fit & Flare Red L,New,1,$41.99,$41.99,$10.50,BCX,,
663309886173,"b new york Women's Eco Roll Tab Sleeve Hi-Lo Button Down Shirt, Canteen, XS",New,1,$120.00,$120.00,$30.00,B NEW YORK/PACIFIC ALLIANCE MFG,,
681283333315,"Silver Jeans Co. Women's Suki Curvy Fit Mid Rise Straight Leg Jeans, Dark Indigo Rinse, 25W x 31L",New,1,$89.00,$89.00,$22.25,SILVER JEANS/WESTERN GLOVE WORK,,
707762056527,Nightway Womens Blue Sleeveless Full-Length Fit + Flare Evening Dress 14,New,1,$109.00,$109.00,$27.25,NIGHT WAY/R & M RICHARDS INC,,
720655529304,CECE Womens Coral Short Sleeve Square Neck Peasant Top Size: M,New,1,$69.00,$69.00,$17.25,CECE/BERNARD CHAUS INC,,
732994165150,INC International Concepts Womens Casual V-Neck Tank Top Bright White,New,1,$24.50,$24.50,$6.13,INC-MMG,,
732997663516,Maison Jules Womens Red Tie Striped 3/4 Sleeve Jewel Neck T-Shirt Sweater Size XS,New,1,$69.50,$69.50,$17.38,MAISON JULES-MMG,,
732998300519,Alfani Womens Animal Print Faux Wrap Wear to Work Dress Pink (Small),New,1,$89.50,$89.50,$22.38,ALFANI-EDI,,
732999140992,bar III Womens Black Keyhole Top Size XL,New,1,$34.50,$34.50,$8.63,BAR III-MMG,,
732999445622,BAR III Womens Black Long Sleeve Crew Neck Sweater Size: L,New,1,$59.50,$59.50,$14.88,BAR III-MMG,,
732999680566,Alfani Womens Black Square Neck Tank Top Size L,New,1,$39.50,$39.50,$9.88,ALFANI-EDI,,
733001274124,INC Womens Green Seam Front Long Sleeve V Neck Hi-Lo Sweater XS,New,1,$59.50,$59.50,$14.88,INC-MMG,,
733001429944,BAR III Womens Black Houndstooth Long Sleeve V Neck Sweater Size: XS,New,1,$79.50,$79.50,$19.88,BAR III-MMG,,
733001546771,bar III Womens Black Pull-on Skinny Evening Pants Size: XL,New,1,$49.50,$49.50,$12.38,BAR III-EDI/DFA,,
733001738244,Alfani Women's Animal-Print Surplice Blouse Animal Print Medium,New,1,$79.50,$79.50,$19.88,ALFANI-EDI,,
733001760405,INC Womens Brown Turtle Neck Top Size M,New,1,$29.50,$29.50,$7.38,INC-MMG,,
733001820703,INC Womens Pink Printed Sweatshirt Size S,New,1,$69.50,$69.50,$17.38,INC-MMG,,
733001820710,INC Womens Pink Printed Sweatshirt Size M,New,1,$69.50,$69.50,$17.38,INC-MMG,,
733001820727,INC Womens Pink Embellished Printed Sweatshirt Size L,New,1,$69.50,$69.50,$17.38,INC-MMG,,
733001820734,INC Womens Pink Printed Sweatshirt Size XL,New,1,$69.50,$69.50,$17.38,INC-MMG,,
733001916789,INC Womens Gray Sweatshirt Size M,New,2,$59.50,$119.00,$29.75,INC-MMG,,
733002021024,Alfani Womens Green Cold Shoulder 3/4 Sleeve Asymmetrical Neckline Top Size: M,New,2,$59.50,$119.00,$29.75,ALFANI-EDI,,
733002383139,Alfani Womens White Printed Long Sleeve Evening Top Size M,New,1,$69.50,$69.50,$17.38,ALFANI-EDI,,
733002389322,Alfani Womens Light Blue Tie Front Printed 3/4 Sleeve Boat Neck Top Size: M,New,1,$69.50,$69.50,$17.38,ALFANI-EDI,,
810003773845,Foxiedox Women`s Print Cocktail Dress,New,1,$198.00,$198.00,$49.50,FOXIEDOX,,
828659432979,Jessica Howard Petite Lace Sheath Dress Wine Size 10P,New,1,$198.00,$198.00,$49.50,JESSICA HOWARD/G-III APPAREL GROUP,,
840047409462,Leyden Womens Green Animal Print Sleeveless V Neck Tank Top Size S,New,1,$49.00,$49.00,$12.25,LEYDEN/LOVE CHARLES H LLC,,
887903654178,"Bailey 44 Women's Blouse, Creme Fraiche Multi, S",New,1,$126.00,$126.00,$31.50,Bailey 44,,
887903654192,"Bailey 44 Women's Blouse, Creme Fraiche Multi, L",New,1,$168.00,$168.00,$42.00,BAILEY 44/SISTER SAM LLC,,
887903655304,"Bailey 44 Women's Blouse, Pink, S",New,1,$117.60,$117.60,$29.40,Bailey 44,,
9352229030247,The Weekend Brand Womens Senorita Printed Tiered Maxi Dress B/W 6 Navy,New,1,$99.00,$99.00,$24.75,CHARLIE HOLIDAY/TEE INK PTY LTD,,
,FBA16HGT9PWR/1ZT74T370367155724,,,,,,,,
93487908266,"Kasper Women's Stretch Crepe 1 Button Stand Collar Jacket, Sapphire, 8",New,1,$99.00,$99.00,$24.75,KASPER GROUP LLC,,
,FBA16HGVF529/1ZT74T370329142032,,,,,,12/1/2021,,
14671738230,Maidenform Women's Microfiber with Lace Boyshort PantyHot Chili/White Dot8/X-Large,New,1,$10.67,$10.67,$2.67,HANESBRANDS INC,,
192503164195,"Bali Women's Passion for Comfort Back Smoothing Underwire Bra, Black, 34B",New,1,$35.20,$35.20,$8.80,BALI/HANESBRANDS INC,,
192673211392,kensie Womens Teal Printed Sleeveless Halter Mini Sheath Cocktail Dress Size 0,New,1,$108.00,$108.00,$27.00,KENSIE,,
193465416599,Free People New Dawn Jacket Black L (Women's 12-14),New,1,$168.00,$168.00,$42.00,FREE PEOPLE/URBAN OUTFITTERS,,
193465510457,Free People Womens Acadia Cotton Ruffled Crop Top Gray S,New,1,$58.00,$58.00,$14.50,FREE PEOPLE/URBAN OUTFITTERS,,
193465761545,Free People Womens These Dreams Floral Ruffled Mini Dress Purple XS,New,1,$128.00,$128.00,$32.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374061528,"Free People Highland V Sweater- Neutral Combo, (Small)",New,1,$128.00,$128.00,$32.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374085197,Free People Womens Alpaca Pom Beanie Hat Purple O/S,New,1,$48.00,$48.00,$12.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374091945,"Free People Women's Sunbrite Sweater, Cool Night Combo, Black, Stripe, Medium",New,1,$128.00,$128.00,$32.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374161808,Free People Women's Bright Eyes Tie Dye Tee Cloud Combo Small,New,1,$58.00,$58.00,$14.50,FREE PEOPLE/URBAN OUTFITTERS,,
194374201641,Free People Seize The Day Jacket Olive SM (Women's 4-6),New,1,$168.00,$168.00,$42.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374201658,Free People Seize The Day Jacket Olive MD (Women's 8-10),New,1,$168.00,$168.00,$42.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374201665,Free People Seize The Day Jacket Olive LG (Women's 12),New,1,$168.00,$168.00,$42.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374215877,Free People Bondi Thermal Black SM (Women's 4-6),New,1,$68.00,$68.00,$17.00,FREE PEOPLE/URBAN OUTFITTERS,,
194922002201,"True Religion Women's Stella Low Rise Skinny fit Jean, Catcher, 29W X 30L",New,1,$149.00,$149.00,$37.25,TRUE RELIGION/GURU DENIM INC,,
635273523897,TAHARI Womens Black Sleeveless Crew Neck Short Shift Cocktail Dress Size: 16,New,1,$158.00,$158.00,$39.50,ARTHUR S LEVINE,,
661414660923,Teeze Me Womens Navy Sleeveless Off Shoulder Mini Fit + Flare Party Dress Size 3,New,1,$69.00,$69.00,$17.25,TEEZE ME,,
681283143860,"Silver Jeans Co. Women's Elyse Curvy Mid Rise Slim Fit Bootcut Jean, Medium-Light Indigo Wash, 28W X 33L",New,1,$89.00,$89.00,$22.25,SILVER JEANS/WESTERN GLOVE WORK,,
708008572924,City Studio Womens Juniors Ruffled Fit & Flare Flounce Dress Navy 15,New,1,$59.00,$59.00,$14.75,CITY TRIANGLES-JODI KRISTOPHER,,
708008578094,City Studio Womens Juniors Lace Tie Back Mini Dress Navy 11,New,1,$46.99,$46.99,$11.75,CITY TRIANGLES-JODI KRISTOPHER,,
708008588857,City Studio A-Line Junior Drop Waist Flounce Illusion Purple 9,New,1,$47.99,$47.99,$12.00,CITY TRIANGLES-JODI KRISTOPHER,,
719544858335,"Wacoal womens Awareness Full Figure Underwire bra, ash rose, 34DD",New,1,$65.00,$65.00,$16.25,Wacoal,,
732997087169,Maison Jules Womens Animal Print Ruffled Blouse Pink S,New,1,$59.50,$59.50,$14.88,MAISON JULES-MMG,,
732997087213,Maison Jules Womens Animal Print Ruffled Blouse Pink XXS,New,1,$17.48,$17.48,$4.37,Maison Jules,,
